origin_airport;destination_airport;image_url;image_tag;description;url;origin_city;destination_city;price_oneway;price_round;applink;route;priority;origin_country_2lc;destination_country_2lc;origin_location_id;origin_slug;destination_location_id;destination_slug;origin_city_en;destination_city_en;origin_country;origin_country_en;destination_country;destination_country_en;cheap_landing_page_url;search_results_url_oneway;search_results_url_return;currency;language
OSR;AYT;https://images.kiwi.com/photos/1280x720/antalya_tr.jpg;Antalya, travel destination, city;Ostrava - Antalya;https://kiwi.com/cz/hledej/results/ostrava-cesko/antalya-turecko;Ostrava;Antalya;3037 CZK;6442 CZK;;OSR-AYT;;CZ;TR;ostrava_cz;ostrava-cesko;antalya_tr;antalya-turecko;Ostrava;Antalya;Česko;Czechia;Turecko;Turkey;https://www.kiwi.com/cz/cheap-flights/ostrava-cesko/antalya-turecko/;https://www.kiwi.com/cz/hledej/results/ostrava-cesko/antalya-turecko/anytime/no-return;https://www.kiwi.com/cz/hledej/results/ostrava-cesko/antalya-turecko/anytime;CZK;cz
BRQ;SFO;https://images.kiwi.com/photos/1280x720/san-francisco_ca_us.jpg;San Francisco, travel destination, city;Brno - San Francisco;https://kiwi.com/cz/hledej/results/brno-cesko/san-francisco-california-spojene-staty;Brno;San Francisco;9161 CZK;17048 CZK;;BRQ-SFO;;CZ;US;brno_cz;brno-cesko;san-francisco_ca_us;san-francisco-california-spojene-staty;Brno;San Francisco;Česko;Czechia;Spojené státy;United States;https://www.kiwi.com/cz/cheap-flights/brno-cesko/san-francisco-california-spojene-staty/;https://www.kiwi.com/cz/hledej/results/brno-cesko/san-francisco-california-spojene-staty/anytime/no-return;https://www.kiwi.com/cz/hledej/results/brno-cesko/san-francisco-california-spojene-staty/anytime;CZK;cz
PRG;ALG;https://images.kiwi.com/photos/1280x720/algiers_dz.jpg;Alžír, travel destination, city;Praha - Alžír;https://kiwi.com/cz/hledej/results/praha-cesko/alzir-alzirsko;Praha;Alžír;2792 CZK;5389 CZK;;PRG-ALG;;CZ;DZ;prague_cz;praha-cesko;algiers_dz;alzir-alzirsko;Prague;Algiers;Česko;Czechia;Alžírsko;Algeria;https://www.kiwi.com/cz/cheap-flights/praha-cesko/alzir-alzirsko/;https://www.kiwi.com/cz/hledej/results/praha-cesko/alzir-alzirsko/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/alzir-alzirsko/anytime;CZK;cz
PRG;KKN;https://images.kiwi.com/photos/1280x720/kirkenes_no.jpg;Kirkenes, travel destination, city;Praha - Kirkenes;https://kiwi.com/cz/hledej/results/praha-cesko/kirkenes-norsko;Praha;Kirkenes;3160 CZK;6613 CZK;;PRG-KKN;;CZ;NO;prague_cz;praha-cesko;kirkenes_no;kirkenes-norsko;Prague;Kirkenes;Česko;Czechia;Norsko;Norway;https://www.kiwi.com/cz/cheap-flights/praha-cesko/kirkenes-norsko/;https://www.kiwi.com/cz/hledej/results/praha-cesko/kirkenes-norsko/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/kirkenes-norsko/anytime;CZK;cz
PRG;MBA;https://images.kiwi.com/photos/1280x720/mombasa_ke.jpg;Mombasa, travel destination, city;Praha - Mombasa;https://kiwi.com/cz/hledej/results/praha-cesko/mombasa-kena;Praha;Mombasa;7422 CZK;18028 CZK;;PRG-MBA;;CZ;KE;prague_cz;praha-cesko;mombasa_ke;mombasa-kena;Prague;Mombasa;Česko;Czechia;Keňa;Kenya;https://www.kiwi.com/cz/cheap-flights/praha-cesko/mombasa-kena/;https://www.kiwi.com/cz/hledej/results/praha-cesko/mombasa-kena/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/mombasa-kena/anytime;CZK;cz
PRG;SFT;https://images.kiwi.com/photos/1280x720/skelleftea_se.jpg;Skellefteå, travel destination, city;Praha - Skellefteå;https://kiwi.com/cz/hledej/results/praha-cesko/skelleftea-svedsko;Praha;Skellefteå;2302 CZK;4923 CZK;;PRG-SFT;;CZ;SE;prague_cz;praha-cesko;skelleftea_se;skelleftea-svedsko;Prague;Skellefteå;Česko;Czechia;Švédsko;Sweden;https://www.kiwi.com/cz/cheap-flights/praha-cesko/skelleftea-svedsko/;https://www.kiwi.com/cz/hledej/results/praha-cesko/skelleftea-svedsko/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/skelleftea-svedsko/anytime;CZK;cz
PRG;BSR;https://images.kiwi.com/photos/1280x720/basra_iq.jpg;Basra, travel destination, city;Praha - Basra;https://kiwi.com/cz/hledej/results/praha-cesko/basra-irak;Praha;Basra;4066 CZK;8279 CZK;;PRG-BSR;;CZ;IQ;prague_cz;praha-cesko;basra_iq;basra-irak;Prague;Basra;Česko;Czechia;Irák;Iraq;https://www.kiwi.com/cz/cheap-flights/praha-cesko/basra-irak/;https://www.kiwi.com/cz/hledej/results/praha-cesko/basra-irak/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/basra-irak/anytime;CZK;cz
PRG;KUO;https://images.kiwi.com/photos/1280x720/kuopio_fi.jpg;Kuopio, travel destination, city;Praha - Kuopio;https://kiwi.com/cz/hledej/results/praha-cesko/kuopio-finsko;Praha;Kuopio;3429 CZK;4164 CZK;;PRG-KUO;;CZ;FI;prague_cz;praha-cesko;kuopio_fi;kuopio-finsko;Prague;Kuopio;Česko;Czechia;Finsko;Finland;https://www.kiwi.com/cz/cheap-flights/praha-cesko/kuopio-finsko/;https://www.kiwi.com/cz/hledej/results/praha-cesko/kuopio-finsko/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/kuopio-finsko/anytime;CZK;cz
PRG;EZS;https://images.kiwi.com/photos/1280x720/elazig_tr.jpg;Elâzığ, travel destination, city;Praha - Elâzığ;https://kiwi.com/cz/hledej/results/praha-cesko/elazig-turecko;Praha;Elâzığ;2278 CZK;5119 CZK;;PRG-EZS;;CZ;TR;prague_cz;praha-cesko;elazig_tr;elazig-turecko;Prague;Elazığ;Česko;Czechia;Turecko;Turkey;https://www.kiwi.com/cz/cheap-flights/praha-cesko/elazig-turecko/;https://www.kiwi.com/cz/hledej/results/praha-cesko/elazig-turecko/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/elazig-turecko/anytime;CZK;cz
OSR;CGN;https://images.kiwi.com/photos/1280x720/cologne_de.jpg;Kolín nad Rýnem, travel destination, city;Ostrava - Kolín nad Rýnem;https://kiwi.com/cz/hledej/results/ostrava-cesko/kolin-nad-rynem-nemecko;Ostrava;Kolín nad Rýnem;1519 CZK;2743 CZK;;OSR-CGN;;CZ;DE;ostrava_cz;ostrava-cesko;cologne_de;kolin-nad-rynem-nemecko;Ostrava;Cologne;Česko;Czechia;Německo;Germany;https://www.kiwi.com/cz/cheap-flights/ostrava-cesko/kolin-nad-rynem-nemecko/;https://www.kiwi.com/cz/hledej/results/ostrava-cesko/kolin-nad-rynem-nemecko/anytime/no-return;https://www.kiwi.com/cz/hledej/results/ostrava-cesko/kolin-nad-rynem-nemecko/anytime;CZK;cz
PRG;ORF;https://images.kiwi.com/photos/1280x720/norfolk_va_us.jpg;Norfolk, travel destination, city;Praha - Norfolk;https://kiwi.com/cz/hledej/results/praha-cesko/norfolk-virginie-spojene-staty;Praha;Norfolk; CZK;17366 CZK;;PRG-ORF;;CZ;US;prague_cz;praha-cesko;norfolk_va_us;norfolk-virginie-spojene-staty;Prague;Norfolk;Česko;Czechia;Spojené státy;United States;https://www.kiwi.com/cz/cheap-flights/praha-cesko/norfolk-virginie-spojene-staty/;https://www.kiwi.com/cz/hledej/results/praha-cesko/norfolk-virginie-spojene-staty/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/norfolk-virginie-spojene-staty/anytime;CZK;cz
BRQ;MAH;https://images.kiwi.com/photos/1280x720/minorca_es.jpg;Menorca, travel destination, city;Brno - Menorca;https://kiwi.com/cz/hledej/results/brno-cesko/menorca-spanelsko;Brno;Menorca;1739 CZK;4090 CZK;;BRQ-MAH;;CZ;ES;brno_cz;brno-cesko;minorca_es;menorca-spanelsko;Brno;Menorca;Česko;Czechia;Španělsko;Spain;https://www.kiwi.com/cz/cheap-flights/brno-cesko/menorca-spanelsko/;https://www.kiwi.com/cz/hledej/results/brno-cesko/menorca-spanelsko/anytime/no-return;https://www.kiwi.com/cz/hledej/results/brno-cesko/menorca-spanelsko/anytime;CZK;cz
PRG;MQM;https://images.kiwi.com/photos/1280x720/mardin_tr.jpg;Mardin, travel destination, city;Praha - Mardin;https://kiwi.com/cz/hledej/results/praha-cesko/mardin-turecko;Praha;Mardin;3454 CZK;6344 CZK;;PRG-MQM;;CZ;TR;prague_cz;praha-cesko;mardin_tr;mardin-turecko;Prague;Mardin;Česko;Czechia;Turecko;Turkey;https://www.kiwi.com/cz/cheap-flights/praha-cesko/mardin-turecko/;https://www.kiwi.com/cz/hledej/results/praha-cesko/mardin-turecko/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/mardin-turecko/anytime;CZK;cz
PRG;AUA;https://images.kiwi.com/photos/1280x720/aruba_aw.jpg;Aruba, travel destination, city;Praha - Aruba;https://kiwi.com/cz/hledej/results/praha-cesko/aruba-aruba;Praha;Aruba;10630 CZK;17342 CZK;;PRG-AUA;;CZ;AW;prague_cz;praha-cesko;aruba_aw;aruba-aruba;Prague;Aruba;Česko;Czechia;Aruba;Aruba;https://www.kiwi.com/cz/cheap-flights/praha-cesko/aruba-aruba/;https://www.kiwi.com/cz/hledej/results/praha-cesko/aruba-aruba/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/aruba-aruba/anytime;CZK;cz
PRG;MST;https://images.kiwi.com/photos/1280x720/maastricht_nl.jpg;Maastricht, travel destination, city;Praha - Maastricht;https://kiwi.com/cz/hledej/results/praha-cesko/maastricht-nizozemsko;Praha;Maastricht;1323 CZK;2572 CZK;;PRG-MST;;CZ;NL;prague_cz;praha-cesko;maastricht_nl;maastricht-nizozemsko;Prague;Maastricht;Česko;Czechia;Nizozemsko;Netherlands;https://www.kiwi.com/cz/cheap-flights/praha-cesko/maastricht-nizozemsko/;https://www.kiwi.com/cz/hledej/results/praha-cesko/maastricht-nizozemsko/anytime/no-return;https://www.kiwi.com/cz/hledej/results/praha-cesko/maastricht-nizozemsko/anytime;CZK;cz
OSR;PMI;https://images.kiwi.com/photos/1280x720/palma_es.jpg;Palma de Mallorca, travel destination, city;Ostrava - Palma de Mallorca;https://kiwi.com/cz/hledej/results/ostrava-cesko/palma-de-mallorca-spanelsko;Ostrava;Palma de Mallorca;1960 CZK;3503 CZK;;OSR-PMI;;CZ;ES;ostrava_cz;ostrava-cesko;palma_es;palma-de-mallorca-spanelsko;Ostrava;Palma, Majorca;Česko;Czechia;Španělsko;Spain;https://www.kiwi.com/cz/cheap-flights/ostrava-cesko/palma-de-mallorca-spanelsko/;https://www.kiwi.com/cz/hledej/results/ostrava-cesko/palma-de-mallorca-spanelsko/anytime/no-return;https://www.kiwi.com/cz/hledej/results/ostrava-cesko/palma-de-mallorca-spanelsko/anytime;CZK;cz
